date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:29	118/118	---M-Z	200	added ('OK')	text/plain	date:Tue,%2007%20Feb%202023%2014:12:47%20GMT	https://checking.tabgraphix.net/robots.txt		(from )
19:14:30	168055/168055	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Feb%202023%2014:12:47%20GMT	https://checking.tabgraphix.net/	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/index.html	(from )
19:14:31	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%2235c2fa6-172a9-5ed33192c4540-gzip%22	https://checking.tabgraphix.net/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://checking.tabgraphix.net/)
19:14:31	28175/28175	---M-Z	200	added ('OK')	application/rss+xml	etag:%228f4106896cb61071e355af630f6fbd51-gzip%22	https://checking.tabgraphix.net/feed/	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/feed/index.html	(from https://checking.tabgraphix.net/)
19:14:32	10435/10435	---M-Z	200	added ('OK')	text/css	etag:%224581a6f-28c3-5f2644768b218-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.1.5	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style13cb.css	(from https://checking.tabgraphix.net/)
19:14:32	4863/4863	---M-Z	200	added ('OK')	application/rss+xml	etag:%228f4106896cb61071e355af630f6fbd51-gzip%22	https://checking.tabgraphix.net/comments/feed/	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/comments/feed/index.html	(from https://checking.tabgraphix.net/)
19:14:32	244272/244272	---M-Z	200	added ('OK')	text/css	etag:%2245819ff-3ba30-5f26447686faf-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.1.5	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style13cb.css	(from https://checking.tabgraphix.net/)
19:14:33	217/217	---M-Z	200	added ('OK')	text/css	etag:%2235c2ddc-d9-5ebdc1e39f300-gzip%22	https://checking.tabgraphix.net/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-includes/css/classic-themes.min68b3.css	(from https://checking.tabgraphix.net/)
19:14:33	2803/2803	---M-Z	200	added ('OK')	text/css	etag:%223761b9c-af3-5f264450e058d-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.2	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/contact-form-7/includes/css/styles9f31.css	(from https://checking.tabgraphix.net/)
19:14:34	17809/17809	---M-Z	200	added ('OK')	text/css	etag:%224521449-4591-5f264474b8cff-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=7.3.0	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9156.css	(from https://checking.tabgraphix.net/)
19:14:35	7043/7043	---M-Z	200	added ('OK')	text/css	etag:%22452143f-1b83-5f264474b852f-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=7.3.0	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9156.css	(from https://checking.tabgraphix.net/)
19:14:35	62783/62783	---M-Z	200	added ('OK')	text/css	etag:%224521416-f53f-5f264474b71a7-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=7.3.0	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/woocommerce/assets/css/woocommerce9156.css	(from https://checking.tabgraphix.net/)
19:14:36	2488/2488	---M-Z	200	added ('OK')	text/css	etag:%2237621aa-9b8-5f264458bfc55-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/rselements/assets/css/materialize.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/rselements/assets/css/materialize6a4d.css	(from https://checking.tabgraphix.net/)
19:14:36	3221/3221	---M-Z	200	added ('OK')	text/css	etag:%2237621d7-c95-5f264458c1b96-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/rselements/assets/fonts/flaticon.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/rselements/assets/fonts/flaticon6a4d.css	(from https://checking.tabgraphix.net/)
19:14:37	25910/25910	---M-Z	200	added ('OK')	text/css	etag:%2237621a8-6536-5f264458bf86d-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/rselements/assets/css/headding-title.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/rselements/assets/css/headding-title6a4d.css	(from https://checking.tabgraphix.net/)
19:14:38	227700/227700	---M-Z	200	added ('OK')	text/css	etag:%2237621a6-37974-5f264458bf86d-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/rselements/assets/css/rsaddons.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/rselements/assets/css/rsaddons6a4d.css	(from https://checking.tabgraphix.net/)
19:14:38	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%223742cf7-235ed-5f264426e50c3-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/bootstrap.min.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/bootstrap.min6a4d.css	(from https://checking.tabgraphix.net/)
19:14:39	30999/30999	---M-Z	200	added ('OK')	text/css	etag:%2237622ea-7917-5f2644559c87f-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://checking.tabgraphix.net/)
19:14:39	70942/70942	---M-Z	200	added ('OK')	text/css	etag:%223742cea-1151e-5f264426e48f2-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/font-awesome.min.all.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/font-awesome.min.all6a4d.css	(from https://checking.tabgraphix.net/)
19:14:39	3570/3570	---M-Z	200	added ('OK')	text/css	etag:%223742cfb-df2-5f264426e54ab-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/flaticon.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/flaticon6a4d.css	(from https://checking.tabgraphix.net/)
19:14:39	1277/1277	---M-Z	200	added ('OK')	text/css	etag:%223742d23-4fd-5f264426e6c1b-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/font/flaticon.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/font/flaticon6a4d.css	(from https://checking.tabgraphix.net/)
19:14:40	4198/4198	---M-Z	200	added ('OK')	text/css	etag:%223742cee-1066-5f264426e4cdb-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/owl.carousel.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/owl.carousel6a4d.css	(from https://checking.tabgraphix.net/)
19:14:40	3669/3669	---M-Z	200	added ('OK')	text/css	etag:%223742ce7-e55-5f264426e450a-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/slick.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/slick6a4d.css	(from https://checking.tabgraphix.net/)
19:14:40	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%223742ce4-1b27-5f264426e450a-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/magnific-popup.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/magnific-popup6a4d.css	(from https://checking.tabgraphix.net/)
19:14:41	26554/26554	---M-Z	200	added ('OK')	text/css	etag:%223742ce1-67ba-5f264426e4122-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/custom.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/custom6a4d.css	(from https://checking.tabgraphix.net/)
19:14:42	488624/488624	---MCZ	200	added ('OK')	text/css	etag:%223742ce9-774b0-5f264426e48f2-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/default.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/default6a4d.css	(from https://checking.tabgraphix.net/)
19:14:42	122366/122366	---M-Z	200	added ('OK')	text/css	etag:%223742cf8-1ddfe-5f264426e50c3-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/assets/css/responsive.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/assets/css/responsive6a4d.css	(from https://checking.tabgraphix.net/)
19:14:42	19705/19705	---M-Z	200	added ('OK')	text/css	etag:%223722d60-4cf9-5f264426e1dfa-gzip%22	https://checking.tabgraphix.net/wp-content/themes/bizup/style.css?ver=6.1.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/themes/bizup/style6a4d.css	(from https://checking.tabgraphix.net/)
19:14:42	19323/19323	---M-Z	200	added ('OK')	text/css	etag:%223762346-4b7b-5f264455a0ae8-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.17.0	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine127.css	(from https://checking.tabgraphix.net/)
19:14:43	96082/96082	---M-Z	200	added ('OK')	text/css	etag:%223762376-17752-5f264455a2e10-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.10.0	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/elementor/assets/css/frontend-lite.min12f9.css	(from https://checking.tabgraphix.net/)
19:14:43	1099/1099	---M-Z	200	added ('OK')	text/css	etag:%223761dde-44b-5f26496aa772f-gzip%22	https://checking.tabgraphix.net/wp-content/uploads/elementor/css/post-8.css?ver=1673888721	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/uploads/elementor/css/post-8a2e8.css	(from https://checking.tabgraphix.net/)
19:14:43	33968/33968	---M-Z	200	added ('OK')	text/css	etag:%223761ddf-84b0-5f26496b10ad0-gzip%22	https://checking.tabgraphix.net/wp-content/uploads/elementor/css/global.css?ver=1673888722	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/uploads/elementor/css/global6595.css	(from https://checking.tabgraphix.net/)
19:14:43	967/967	---M-Z	200	added ('OK')	text/css	etag:%223761de0-3c7-5f28cdd23f98c-gzip%22	https://checking.tabgraphix.net/wp-content/uploads/elementor/css/post-27279.css?ver=1674061703	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/uploads/elementor/css/post-272794ee0.css	(from https://checking.tabgraphix.net/)
19:14:44	89684/89684	---M-Z	200	added ('OK')	application/javascript	etag:%223721956-15e54-5e9085b47de00-gzip%22	https://checking.tabgraphix.net/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-includes/js/jquery/jquery.mina7a0.js	(from https://checking.tabgraphix.net/)
19:14:44	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%22372194e-2bd8-5b45debe27b80-gzip%22	https://checking.tabgraphix.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://checking.tabgraphix.net/)
19:14:45	4803/4803	---MC-	200	added ('OK')	application/json	date:Tue,%2007%20Feb%202023%2014:13:03%20GMT	https://checking.tabgraphix.net/wp-json/wp/v2/pages/27279	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-json/wp/v2/pages/27279.json	(from https://checking.tabgraphix.net/)
19:14:45	852/852	---M-Z	200	added ('OK')	text/xml	date:Tue,%2007%20Feb%202023%2014:13:03%20GMT	https://checking.tabgraphix.net/xmlrpc.php?rsd	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/xmlrpc0db0.php	(from https://checking.tabgraphix.net/)
19:14:46	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%2235c31a5-415-4ed4785da9bc0-gzip%22	https://checking.tabgraphix.net/wp-includes/wlwmanifest.xml	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-includes/wlwmanifest.xml	(from https://checking.tabgraphix.net/)
19:14:46	2367/2367	---MC-	200	added ('OK')	application/json	date:Tue,%2007%20Feb%202023%2014:13:04%20GMT	https://checking.tabgraphix.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchecking.tabgraphix.net%2F	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-json/oembed/1.0/embed05ee.json	(from https://checking.tabgraphix.net/)
19:14:47	2439/2439	---M-Z	200	added ('OK')	text/xml	date:Tue,%2007%20Feb%202023%2014:13:05%20GMT	https://checking.tabgraphix.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchecking.tabgraphix.net%2F&format=xml	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-json/oembed/1.0/embed1db2	(from https://checking.tabgraphix.net/)
19:14:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Feb%202023%2014:13:05%20GMT	https://checking.tabgraphix.net/report-a-theft	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/report-a-theft	(from https://checking.tabgraphix.net/)
19:14:48	2905/2905	---M-Z	200	added ('OK')	text/css	etag:%22452064b-b59-5f2653938ba12-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/modal-window/public/assets/css/style.min.css?ver=5.3.4	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/modal-window/public/assets/css/style.min03ec.css	(from https://checking.tabgraphix.net/)
19:14:48	171598/171598	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Feb%202023%2014:13:06%20GMT	https://checking.tabgraphix.net/report-a-theft/	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/report-a-theft/index.html	(from https://checking.tabgraphix.net/)
19:14:48	59581/59581	---M-Z	200	added ('OK')	text/css	etag:%22376334a-e8bd-5f26445ef42f0-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.5.31	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/revslider/public/assets/css/rs69f6d.css	(from https://checking.tabgraphix.net/)
19:14:49	10565/10565	---M-Z	200	added ('OK')	application/javascript	etag:%223761bbc-2945-5f264450e1916-gzip%22	https://checking.tabgraphix.net/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.7.2	C:/Users/ASC/Desktop/thief/new/checking.tabgraphix.net/wp-content/plugins/contact-form-7/includes/swv/js/index9f31.js	(from https://checking.tabgraphix.net/)
